text,user,time,favorites,retweets,sentimentA,sentimentB,friendCount,followerCount,description,location,type,time_bin,cluster
you just made someones job harder good work,chris_asleson,6/12/17 20:50,0,0,Very Positive,joy,183,54,ttu class of dcl,"Frisco, TX",reply,7,3
thats a dick move someone who doesnt get paid enough now has to fix your stupidity get off your high horse and grow up,jacobed25,6/12/17 20:50,0,0,Negative,anger,110,69,hi,United States,reply,7,1
my daughter does this kind of stuff,RnSpierce,6/12/17 20:49,0,0,Very Positive,joy,642,65,advocating is my passion social worker if i believe in it i will stand alone if i have too kids married dogs friends family,,reply,7,3
yeah,SusanWa95715414,6/12/17 20:49,2,0,Positive,NA,100,90,a nonpersonliberal that loves my country and a crazy cat lady,Alabama,reply,7,NA
well arent you just the brave little social justice warrior dont worry a clerk put them back where they belong,eye8apie,6/12/17 20:48,0,0,Positive,joy,50,54,new orleans native father believer in lifelibertyand the pursuit of happiness,,reply,7,NA
great job,Ruff_and_Stuff,6/12/17 20:47,1,0,Very Positive,joy,1058,116,slo mo casserole,"Madison, WI",reply,7,3
thanks for the side tit chances,leashyourkids,6/12/17 20:47,0,0,Positive,NA,45,25,leave the bronx,,reply,7,2
target did have nasa shirts for girls i bought one for my yr old also wonder woman jammies for b,joifulgurl,6/12/17 20:46,0,0,Positive,surprise,102,158,rabblerouser chronic toestubber feminist knitter a blue dot in a very red part of fl,"Florida, USA",reply,7,3
let us know which section of the store you spend the most time in so we can put the sandwich making products there,IGnatiusTFoobar,6/12/17 20:46,0,0,Very Positive,NA,114,75,i am the ultimate social media rock star,4.3 LY from Alpha Centauri,reply,7,2
so happy that sexism is now defeated because you created more work for minimum wage workers,perksofbeingkai,6/12/17 20:45,0,0,Very Positive,joy,351,197,diehard ravensos fan creative mind lover of words and writing much cooler than,reppin' tha 410.,reply,7,3
target has or ones in the girls sectionwish they were my size,Trekkie01D,6/12/17 20:45,0,0,Neutral,NA,370,320,mom trekkie geek pluvophile baker logical i enjoy board card games some video games lover of nature classic rock,,reply,7,3
you my dear rock,MichelleSonnier,6/12/17 20:44,0,0,Very Positive,NA,341,273,writer of short stories creator of magic,Maryland,reply,7,3
brilliant,Stuart_Moon20,6/12/17 20:44,0,0,Positive,NA,500,212,progressive antitrump resistence,"Los Angeles, CA",reply,7,3
but why parents can buy from any section if you want to buy and put boys clothes on your girl you can,J_Sainturat,6/12/17 20:43,0,0,Positive,NA,68,85,i had to open a twitter account once because i wanted to write a comment in another website psychologist lds ctr se habla espaol,,reply,7,2
after patting yourself on the back all you did was make more work for a store clerk to return the clothes,bradeickman,6/12/17 20:43,9,0,Very Positive,NA,439,981,yr old married father of full time serial entrepreneur sf giants fan lover of an ipa i welcome good debate but if you become a punk youre muted,,reply,7,2
why tho,dunder69,6/12/17 20:43,0,0,Neutral,NA,57,10,no safe space here,,reply,7,2
ur so brave,tinydickboi,6/12/17 20:41,0,0,Positive,NA,111,80,juggalo march,The Yard,reply,7,2
target,TheSunshineVibe,6/12/17 20:40,0,0,Neutral,NA,513,341,beauty and the beast only resonates with me more as i get older,Mothership,reply,7,3
this is awesomei will follow your lead and do the same brilliant,LisaTesle,6/12/17 20:40,0,0,Very Positive,NA,45,7,,,reply,7,3
correction what you actually did was indulge in competitive myopic virtuosity signalling for attention,GiftedNutter,6/12/17 20:40,0,0,Neutral,NA,915,919,the sleeper has awoken from underhill at avalon and my kin shall know me by my name,Avalon,reply,7,2
your my spirit animal,mossergirl,6/12/17 20:40,17,11,Positive,NA,761,146,a new york girl living in a florida world,,reply,7,3
but there boy clothes,xVenTure_,6/12/17 20:40,0,0,Neutral,NA,225,706,owner of sponsored by code venture gt sanyeo iw bo pro dream is to join,Donations,reply,7,NA
so you dont think the store owner has the right to do what shehe wants with their own property got it communist,clscjones,6/12/17 20:39,0,0,Positive,NA,513,298,tekton solver of mysteries in my spare time i sharpen my discernment,,reply,7,2
thats where they belong well played,writenoelle,6/12/17 20:39,1,0,Positive,joy,705,795,teach hard rock hard sleep hard pray hard listen hard wear glasses if you need em assist principal reading specialist recovering history tchr,"Tennessee, USA",reply,7,3
damn this tweet is the quessential example of trigly digly butthurt,GabrielUreno,6/12/17 20:39,0,0,Negative,NA,73,130,shredding,Stage Left,reply,7,1
as a retail worker you are my least favorite kind of person,rbrownie113,6/12/17 20:39,0,0,Very Positive,joy,122,17,professional disney fangirl sick of tea thats like being sick of breathing official playback machine for i art occasionally,,reply,7,2
lt lt lt lt lt,NixyWasHere,6/12/17 20:39,0,0,Neutral,NA,292,33,goddess artist pain in the ass,"Baltimore, MD",reply,7,3
well yes u did go girlfriend hope the boys dont debate it,GinnyLucas,6/12/17 20:38,0,0,Very Positive,NA,354,180,father l matacia us military warfare analyst using dowsing expert on locating missing persons treasure police wk speaker writer technical adviser,United States,reply,7,3
thank you,ibumichele,6/12/17 20:37,0,0,Positive,NA,1050,514,back in the us writing and editing cat mattress liberal politics petticoated swashbuckler sometimes things happen to people,"Alexandria, VA",reply,7,3
bruh chill i get the message but its just shirts and a walk to another section,TheSunshineVibe,6/12/17 20:36,0,0,Negative,fear,513,341,beauty and the beast only resonates with me more as i get older,Mothership,reply,7,3
bravo,Richeyben,6/12/17 20:36,0,0,Positive,NA,383,75,have drum will travel,"Denison, Tx",reply,7,3
so would i,KimPlasket,6/12/17 20:36,0,0,Neutral,NA,514,584,writer mompoet while i strive for mountains if i reach the trees i shall call myself a sucess,"Orlando, FL",reply,7,3
thats cool but now an employee has to put all those back,biganimetitties,6/12/17 20:36,0,0,Positive,NA,154,61,fight me,USA,reply,7,3
as a new mom i go to the big section all the time because sometimes girl clothes just suck,jackiecarbajal,6/12/17 20:35,2,0,Positive,NA,805,4443,once i was a flower girl in someones wedding and missed the group photo because i was eating a hot dog,los angeles ,reply,7,3
its not like marking experts decided the tshirts would sell better in the boys section,doghorse52,6/12/17 20:35,0,0,Neutral,joy,26,84,,,reply,7,2
thank you,Flip4Students,6/12/17 20:35,0,0,Positive,NA,246,399,former anatomy physiology teacher at allen high school now high school science instructional specialist for allen isd,"Allen, TX",reply,7,3
yes i saw this on instagram and thought oh this nasa shirt looks completely normal here bc it should be here,jackiecarbajal,6/12/17 20:35,1,0,Very Positive,NA,805,4443,once i was a flower girl in someones wedding and missed the group photo because i was eating a hot dog,los angeles ,reply,7,3
wow look at you you fucking rebel,_ustinJ,6/12/17 20:34,0,0,Negative,NA,326,2918,not anymore,NYC,reply,7,2
i have never heard of doing anything so stupid as that,doghorse52,6/12/17 20:34,0,0,Negative,surprise,26,84,,,reply,7,2
wow youre just a massive cunt arent you hope those workers never have to see you in their store again,BasicREH,6/12/17 20:34,0,0,Positive,NA,197,3048,trash at best drummer for the dave diprimo band hire me rit snapchat hoffmeier,"Henrietta, NY",reply,7,2
forgot to iron them first,octoberrust0713,6/12/17 20:34,0,0,Positive,NA,106,51,what the fuck am i doing here,Michigan,reply,7,2
buy your shit and go,ordinarylindaa,6/12/17 20:34,0,0,Negative,NA,72,125,,"Brooklyn, NY",reply,7,3
i hate customers like you,ordinarylindaa,6/12/17 20:34,1,0,Neutral,anger,72,125,,"Brooklyn, NY",reply,7,3
you are absolutely diseased smh,JonJabbaJones,6/12/17 20:33,0,0,Negative,NA,NA,NA,NA,NA,reply,7,NA
wow that store is racist sexist antigay thanks for fixing it,trentbingel,6/12/17 20:33,0,0,Positive,NA,86,190,check out my website,"Florida, USA",reply,7,3
so brave,Crisprtek,6/12/17 20:33,0,0,Positive,NA,2281,5561,comedy account censoring me is a hate crime,Moonside,reply,7,NA
pretty sure we wouldnt agree on much but this is brilliant,ToryLink1,6/12/17 20:33,0,0,Very Positive,NA,21,2,conservative hippie,United States,reply,7,2
thank you,theastromama,6/12/17 20:32,0,0,Positive,NA,801,1164,daughter sister widow mother astrologist,"Brooklyn, NY",reply,7,3
omg youre so edgy,LiberalLogic__,6/12/17 20:32,0,0,Negative,NA,59,37,facts over feelings aka a liberals worst nightmare,"The Crossings, FL",reply,7,2
if u wanna work at target so bad i think u can just apply online now,mutoidmayne,6/12/17 20:32,5,0,Neutral,sadness,724,660,i love giant robots and also i love to be garbage,in some garbag,reply,7,1
why,SterlingDavid,6/12/17 20:32,0,0,Neutral,NA,112,87,,"Cleveland, Ohio",reply,7,2
as someone who works in retail do you know how annoying it is when people misplace clothing much less on purpose,_AxiosG_,6/12/17 20:31,0,0,Very Negative,anger,76,54,i speak my mind dont like it too bad im a writer and i play video games all day long,,reply,7,2
holy shot this man is an actual god,LeytonWilliam,6/12/17 20:31,0,0,Very Positive,sadness,150,48,anime scrub who plays video games probably a weeb,xddd,reply,7,NA
this whole discussion is fucking stupid,Two_Front_War,6/12/17 20:31,0,0,Negative,surprise,52,33,government has failed us all,In the SJW created safe space.,reply,7,2
i will be doing this at all the stores,flow5blue,6/12/17 20:30,0,0,Neutral,NA,67,18,scientist teacher mom feminist views are my own obvsly,Connecticut,reply,7,NA
girls probably arent going to buy them or the store would sell them there to begin with reality sucks im sorry,incestishalal,6/12/17 20:30,0,0,Negative,sadness,305,766,harambes revenge,"Val MÌ_stair, Switzerland",reply,7,2
as impressive as these folks,HumanHouseCat,6/12/17 20:30,0,0,Positive,NA,447,329,its all awful hardawn snapchat humanhousecat,"Phoenix, AZ",reply,7,3
wow she is so brave thanks your sharing your story,sterekiel,6/12/17 20:29,0,0,Very Positive,NA,117,72,youre cute jeans,DK,reply,7,3
now the store will pull up the security tape see what loser did this and ban accordingly,LOCAL_GRAVEYARD,6/12/17 20:28,0,0,Positive,NA,521,1195,italian conservative trump self employed,Hell,reply,7,2
why,SiberalsLuck,6/12/17 20:28,0,0,Neutral,NA,2429,1031,,,reply,7,NA
if i was an employee i would have had you escorted out,lunasluvchild,6/12/17 20:27,6,0,Neutral,NA,1740,2521,if you were from where im from then you would know that i gotta get mine in a big black truck you can get yours in a,cali to ny,reply,7,1
well hells bells you have changed the world betcha feel soooo much better about yourself,BuckwheatBobby,6/12/17 20:27,0,0,Positive,NA,56,32,unassuming conservative football lovin gun totin husband father just trying to find my place in the world unabashed supporter of us veterans,In time I'll be in your head,reply,7,2
hero,kendravaughan,6/12/17 20:27,0,0,Positive,joy,1027,340,critter gaming enthusiast singervoice actor in training also i read a lot of books igtumblr kendrathenerdgirl,"Los Angeles, CA",reply,7,3
garbage fake news target has girls shirts that say nasa on them as well i was just there lying for attention,Trumpbot66,6/12/17 20:27,0,0,Negative,NA,546,484,makeamericagreatagain thats all you need to know about me,,reply,7,2
you want girls to look like boys or something odd,Wiser_OH,6/12/17 20:27,0,0,Positive,joy,337,713,onehive coleader,"Ontario, Canada",reply,7,2
so progressive why dont you petition the manufacturers to make products you like instead of making,Joel_W8,6/12/17 20:26,0,0,Positive,joy,71,93,opinionated constitutional conservative nerd army veteran if you dont like sarcasm ill be sure to change my personality just for you,The place with that thing,reply,7,NA
oh such an edgy move,JustRelaxPeople,6/12/17 20:26,0,0,Negative,joy,203,61,quick to come in and call out your shit,Gotham City,reply,7,2
all you did was make it harder for the employees at the store i would be pissed if i worked there,Traciewhitmore3,6/12/17 20:26,0,0,Positive,anger,1971,595,dont give negan half of your stuff,"California, USA",reply,7,2
brilliant,TeamArgoStewart,6/12/17 20:25,1,0,Positive,NA,81,56,fcps mount vernon woods es th grade teachers,"Alexandria, VA",reply,7,3
now go throw a ham in the halal section at local supermarket,jgarner296969,6/12/17 20:25,0,0,Neutral,NA,922,524,born to live live to die,"California, USA",reply,7,2
wow you really showed them gender roles who you go katie a real activist,flexulant,6/12/17 20:25,0,0,Very Positive,NA,245,273,hahaha idc,,reply,7,1
congrats you have accomplished nothing,graemepyoung,6/12/17 20:25,0,0,Negative,NA,118,217,bg ill pull your fuckin life down bud,,reply,7,1
oh my god you changed the world you ended sexism you are the hero of our generation well s,CasaDelFritz,6/12/17 20:23,0,0,Very Positive,joy,197,1331,jornalista comediante reclamador profissionaltenho uma gata em um dreamcast,"Inaba, JapÌ£o",reply,7,2
good job whered you find those,WhisperThirteen,6/12/17 20:22,0,0,Very Positive,joy,434,466,resist goodtrouble nobannowall technologist activist,United States,reply,7,NA
bitches dont like space,LongfellowAutz,6/12/17 20:21,0,0,Neutral,joy,77,50,first person to call the other racist or hitler loses or wins im not sure how this works,America,reply,7,2
also its almost like you dont realize that the reason they are where they are is because thats how,riguy103,6/12/17 20:21,0,0,Very Positive,joy,139,85,grand poobis,"Pak Bong, Thailand",reply,7,2
hero,jonsweet1978,6/12/17 20:20,0,0,Positive,joy,2135,1262,long suffering vol fan,"Richmond, VA",reply,7,NA
durr im gonna make a difference by fucking up someones job who is just going to put all of it back the way it was,riguy103,6/12/17 20:20,0,0,Neutral,NA,139,85,grand poobis,"Pak Bong, Thailand",reply,7,2
wow how very brave of you that took soooo much courage,brexit4all,6/12/17 20:19,0,0,Very Positive,NA,123,246,,,reply,7,2
i think in there are more important things to worry about than the location of a shirt in a retail store,BarneyAustin,6/12/17 20:19,0,0,Very Positive,joy,186,309,tosu,"Dayton, OH",reply,7,2
you know workers have to just clean this back up right ive worked in clothing stores this is irritating,saintknives,6/12/17 20:19,10,1,Very Positive,anger,595,2092,author of chinese art american girls and la mer my girlfriends are,"Omaha, NE",reply,7,3
did i just take the sliced roast pork and put it in the kosher turkey section yes yes i would if i was an asshat,don2deliver,6/12/17 20:18,0,0,Very Positive,NA,458,271,fixin things that move conservative simple man capable of complex thought,Philly ,reply,7,2
as the father of a brilliant yearold girl we need more people like you,sixtyk,6/12/17 20:18,0,0,Very Positive,joy,44,27,single dad electrical apprentice union guy and dj full of pointless random thoughts mostly about silly movies stupid people and college football,"Omaha, NE",reply,7,3
yesssssssssssss,bbbronte18,6/12/17 20:18,0,0,Neutral,NA,286,25843,official account of houseguest bronte dacquisto teamhairbow bb bookings email bronteannedcom,"California, USA",reply,7,3
my target had a great selection of nasa tees in the girls section,stefknapp,6/12/17 20:18,0,0,Positive,joy,281,57,scrapper nascar fan and guiltridden working mom cuse alum independent jamberry consultant,Southern California,reply,7,3
awesome i hope girls but them,shoppingblonde,6/12/17 20:17,0,0,Very Positive,NA,294,431,small town girl now living on the island mother of mental health medical marijuana advocate,Canada,reply,7,3
id turn you into management so theyd kick you out youre just making life harder on employees doing their jobs,JangoBear,6/12/17 20:16,0,0,Neutral,disgust,2872,4201,entrepreneur business intelligence start up womenfortrump makeamericagreatagain,Chicago at the moment then TX.,reply,7,NA
no you didnt reddit confirmed this was bullshit katie you dont need attention that badly,Robsyuk39,6/12/17 20:16,0,0,Negative,NA,29,1,,,reply,7,2
try this one go to a bookstore find the diary of anne frank and put it on the science fiction she,Arjargon,6/12/17 20:16,0,0,Positive,NA,95,38,new tools for restoring the greatness of the past fsg nsplol just another grain of sand,,reply,7,NA
otherwise they would just forget working for nasa,bestdogbeagle,6/12/17 20:16,0,0,Neutral,NA,66,4,,,reply,7,2
why exactly cant you just go to the mens department and buy them is that too obvious of a solution,MerriAnn5,6/12/17 20:16,0,0,Very Positive,NA,273,47,there is nothing empowering about demanding special treatment,USA,reply,7,2
this tweet gave me cancer,theWillCG,6/12/17 20:15,0,0,Negative,NA,123,61,scratch that itch,,reply,7,2
tbh there are nasa tanks in the girls section at target already,paulabrattrud,6/12/17 20:15,0,0,Negative,NA,438,27,an iowa girl who loves her husband dog and the minnesota vikings,"Hanlontown, IA",reply,7,3
so courageous so brave,SyntaxError1871,6/12/17 20:14,0,0,Very Positive,NA,151,543,donald j trump is your president deal with it nerds,,reply,7,2
oh you are such a warriorwth is wrong with you,Dirtmaid,6/12/17 20:14,0,0,Negative,NA,272,204,anti sjw anti feminist anti islamist, female,reply,7,2
what an incredible waste of time then you tweet proudly about it too bad you are you,RobMcKinley17,6/12/17 20:14,0,0,Neutral,joy,898,248,way bigger than jesus,,reply,7,3
this is idiotoc,FrankieWuzHere,6/12/17 20:14,0,0,Neutral,NA,100,152,proud supporter of our president donald j trump oppressed kekistanian and russia bot,"Florida, USA",reply,7,2
how about you protest the injustices young girls experience in the middle east you narcissistic nitw,CaptHat211,6/12/17 20:12,0,0,Negative,NA,378,1124,christian independent anticorruption activist historian gamer writer infj graduate student archaeology,Kir,reply,7,2
youre a hero,wabbitwords,6/12/17 20:12,0,0,Positive,joy,122,55,as mad as wabbits obviously,the wabbit hutch,reply,7,3
ha has womengirl nasa shirts you fucking idiot,comparisons,6/12/17 20:12,0,0,Negative,NA,61,177,dont assume im a black egalitarian antitheist antifeminist atheist yo woman born in the north living in the south rn i voted for obama and trump,My Skin,reply,7,2
wow being a prick to minimum wage workers for a tweet and combating sexism good job,REALComicCandy,6/12/17 20:12,0,0,Positive,joy,713,263,commissions open dm just your normal american gun enthusiast follow pfpbanner follow and,Infiltrating NEK headquarters,reply,7,NA
this is also how we gained independence washington crossed the valley forge to switch out british un,Bilallsack,6/12/17 20:12,0,0,Very Positive,NA,293,196,,"Los Angeles, CA",reply,7,1
way to go,kcarruthers,6/12/17 20:12,0,0,Neutral,NA,16831,22345,sometimes i feel like being a revolutionary cat founder,Sydney Australia,reply,7,NA
im proud,lillybronx,6/12/17 20:12,0,0,Positive,joy,579,161,hey im an actressfilmaker in progress i love cinematography and adore taking pictures if you wanna talk movies hit me up,Neverland,reply,7,3
i love science math id love for my daughters to wear nasa clothing i dont love ww bc she is so,HealthyMama7,6/12/17 20:12,0,0,Very Positive,joy,1641,662,interested in personal health public health babies breastfeeding parenting,,reply,7,2
how about you buy all the nasa shirts and give them to girls then you might accomplish something that wasnt meaningless,the_thresher,6/12/17 20:11,0,0,Neutral,NA,56,20,spec ops oif veteran writer philosopher christian,,reply,7,2
perhaps you should get a job in this store and make changes instead you make other peoples jobs mo,DabyroDavid,6/12/17 20:10,0,0,Very Positive,sadness,55,81,,,reply,7,NA
absolutely no difference,kumotherapy,6/12/17 20:10,0,0,Negative,NA,211,432,unprofessional professional,,reply,7,2
what is this supposed to prove,Noworriesmaaan,6/12/17 20:10,0,0,Positive,NA,292,115,deplorable lsu equine dentist,"New Orleans, LA",reply,7,2
i wish theyd just lump all childrens clothing by type not gender,ChandraSigmund,6/12/17 20:09,0,0,Negative,NA,786,264,yoga therapistintraining animal nature friend loves books art music dancing lifetime geekgamer mom wife multilayered turntexasblue resistance,"Austin, TX",reply,7,3
gender is biological,flawed___genius,6/12/17 20:09,0,0,Neutral,NA,104,14,emerging political orphan still raising awareness in a constructive manner,,reply,7,2
people like you are a big pain in the ass,romcomhoe,6/12/17 20:09,0,0,Neutral,joy,229,43,this user loves you forever and with all her heart,,reply,7,NA
they make girls nasa shirts thanks for making some minimum wage workers day a lot more stressful,earthquakedgirl,6/12/17 20:08,0,0,Very Negative,NA,244,93,head of namepatterson critter this is mostly critical role stuff and blindspot livetweets with occasional introspective actual thoughts,,reply,7,3
youre an idiot,DeepCFisherman,6/12/17 20:07,0,0,Negative,NA,225,60,im a clever boi,Something Witty,reply,7,2
i mean target does sell nasa shirts for girls and you created more work for a retail employee for absolutely no reason so,PettinatoRob,6/12/17 20:07,0,0,Negative,NA,720,227,husband vegan straight edge podcaster leftist ny mets nj devils comics books wrestling,"Chicago, IL",reply,7,3
or yknow let girls discover space on their own like every other female astronaut has,thegr8davide,6/12/17 20:06,0,0,Very Positive,joy,22,4,,"Vancouver, WA",reply,7,2
youre so brave,DissidentBiker,6/12/17 20:06,0,0,Positive,NA,118,955,theres a bad moon rising,out west somewhere,reply,7,2
thats a good way to get banned from the store you moron,TopherJS8,6/12/17 20:06,0,0,Neutral,joy,48,100,in the beginning of a change the patriot is brave and hated and scorned when he succeeds the timid join him for then it costs nothing to be a patriot,Australia,reply,7,2
try this next time instead of making the job of the low paid retail workers harder with your grandsta,StreetDoc_67,6/12/17 20:05,0,0,Neutral,sadness,157,179,life saver philosopher happily married to a gorgeous modern day super woman proud father of two incredible daughters enjoying life day by day,The Wilds of the Great Lakes,reply,7,2
seems very,KevinDavus,6/12/17 20:04,0,0,Positive,NA,1404,518,im a dad married to hehim cis always open for suggestions dms are open,DC Metro ,reply,7,3
they have nasa tanktops,Cow_Goes_M00,6/12/17 20:04,0,0,Neutral,NA,85,13,,,reply,7,3
yeahgot a bunch of those for my little girl,MsAlderman,6/12/17 20:04,1,0,Negative,NA,1860,1227,writer educator child psych trauma specialist mom vanderbilt harvard scbwi tweets on the above occasional levity i sleep best on trains,,reply,7,3
you brilliant sneaky subversive genius you well done,Caerdwyn,6/12/17 20:03,0,0,Positive,NA,35,317,grumpy old man alpha geek pilot shooter ham radio operator first responder nb hack musician i get things done celestia is best pony,,reply,7,1
oooo arent you edgy,Tyler_River,6/12/17 20:03,0,0,Negative,NA,457,113,just a guy band,England,reply,7,3
they should take you back to the whole you came out of tbh,TheGavinAlger,6/12/17 19:59,0,0,Neutral,NA,453,412,heaven waits for those who run is my gal,"Michigan, USA",reply,7,3
love this i have girls beyond frustrated by stereotyping in apparel,aliyyashelley,6/12/17 19:58,0,0,Neutral,anger,950,603,harnessing business for social benefit at intersection of csr education innovation sustainability socent hope head of csr at cellmark,SF Bay Area,reply,7,3
so brave if only more people had the courage to re locate apparel isis would be wiped from the earth,188NJSapper,6/12/17 19:58,0,0,Very Positive,NA,72,16,unapologetically myself i dont try to be rude but i could not care less if i offend you with my honest opinion conservative libertarian,,reply,7,2
unless you distributed them evenly between both sections youre claiming boys cant science which is,smithycfc1,6/12/17 19:58,0,0,Positive,NA,413,1106,the wrestling the sellik the burd not in that order,Scotland,reply,7,1
back in my day i just went to the mens section and bought my own damn shirts still do is this not,JustHeather8,6/12/17 19:57,0,0,Negative,NA,503,398,i tweet a lot about pro wrestling and politics occasionally at the same time,The Poconos,reply,7,3
loser,HOTSHOTdujour,6/12/17 19:57,0,0,Negative,NA,58,96,almostclassic model low miles corporate wageslave,United States,reply,7,2
girls will ignore them grab hannah montana shirts anyway genderconfused left has been trying n,DeLoachJW,6/12/17 19:56,0,0,Very Negative,NA,954,1020,usaf tn born bred malaria mm survivor homeschool dad no sidefrumbling unless it is due to preframulated amulite,"Arrington, TN",reply,7,2
girls arent predisposed to stem hate fact,DarkRhythms,6/12/17 19:56,0,0,Negative,anger,72,41,,,reply,7,2
i needed something wonderful like this in my timeline right now thank you,ofthestardust,6/12/17 19:55,0,0,Very Positive,joy,841,815,she was warned she was given an explanation nevertheless she persisted photog coffeedrinker gdtbath survivor celiac vaw resistance,NC,reply,7,3
pretty sure after sally ride did it in every american girl knew she too could be an astronaut but sure tank tops,dougletet,6/12/17 19:55,0,0,Very Positive,NA,474,100,father husband western chauvinist constitutionalist all free all equal,USA,reply,7,2
yeah i used to move obama and hillary books to the comedy section in book stores,GooseCretian,6/12/17 19:54,0,0,Very Positive,joy,1201,1322,i default to freedom tgdn,Chucktown,reply,7,2
wow you rebel you you want do something really worthwhile volunteer serve your country our a,NingaDog,6/12/17 19:54,0,0,Very Positive,NA,1006,951,,Anywhere,reply,7,2
at least one target in louisville ky is stocked with nasa merch in the yo girls section hopefully,scottdgibson,6/12/17 19:53,0,0,Positive,NA,212,139,my new profile picture shows how i feel about the new circle profile pictures,"Louisville, KY",reply,7,3
youre a petty woman,Kazu_Reaper,6/12/17 19:53,0,0,Negative,NA,157,28,gamer for many years love indie games master in the art of laying in bed also doing someting it related want to become an indiedeveloper or king or both,Netherlands,reply,7,2
because girls need to see a nasa logo on clothing to be interested in astronauting,SgtKOnyx,6/12/17 19:53,0,0,Positive,NA,43,25,not a sergeant and i have no idea what the k stands for,Midwest United States,reply,7,2
what a retarded tool you are you are doing such a wonderful job fighting sexism,TheNickBrandle,6/12/17 19:52,0,0,Neutral,surprise,129,167,i will tell it how it is,,reply,7,2
damn you just changed the world,T_HETH,6/12/17 19:51,0,0,Negative,NA,463,475,greenwood,,reply,7,2
stunning and brave,SonofArpad,6/12/17 19:51,0,0,Very Positive,NA,3154,834,liberal amerikaner nationalist,,reply,7,NA
nut case,repowashington,6/12/17 19:51,0,0,Negative,NA,1324,937,wife mother grandmother christian and advocater for special needs children and adults love god america trump and crimson tide football roll tide,,reply,7,NA
wow youre so fucking brave arent ya,NSFW_YvannS,6/12/17 19:51,0,0,Positive,NA,146,17,this tweeter account is hazardous to your health thread carefully better account,"Smash, Mouth‰ã¢",reply,7,2
rosie the riviter has nothing on you so brave such freedom fighter,ruthven78,6/12/17 19:50,1,0,Neutral,NA,852,801,hardcore casual gamer father husband to fishermanvariety streamer and i make some vids on youtube,"Spokane, WA",reply,7,2
nice one love,birdylass,6/12/17 19:50,0,0,Very Positive,joy,365,107,first and foremost a wife and mum computer addict dedicated para archer archery coachscout leader and long time xena fan,essex,reply,7,3
and if we are going for equal rightswhy not just buy them from the boys section lets screw up the inventory merica,Ncole1111,6/12/17 19:50,0,0,Neutral,NA,83,9,,Florida,reply,7,2
that just makes it more difficult for the people that work there what a dick move,KarelessFeline,6/12/17 19:50,10,0,Very Negative,joy,1189,593,sometimes we give the best of our hearts uncritically to those who hardly think of us in return thwhite,"Haltom City, TX",reply,7,2
so basically you just made additional work for the employees who will have tonput them back and also,ruthven78,6/12/17 19:50,1,0,Very Positive,NA,852,801,hardcore casual gamer father husband to fishermanvariety streamer and i make some vids on youtube,"Spokane, WA",reply,7,2
i that is why werent they there to begin with gasp id say i feel better now but,gant_richard,6/12/17 19:49,0,0,Neutral,NA,107,45,proud shill for big diet exercise also blogging at,,reply,7,3
because you are an idiot,Oshane_Mckenzie,6/12/17 19:49,0,0,Negative,NA,24,14,there are only two genders science commonsense,Earth,reply,7,2
fantastic,narelleford,6/12/17 19:48,0,0,Positive,surprise,1252,1876,,"Canberra, Australia",reply,7,3
did you just assume this retailer only stocked nasa boys wear just to fuel your narrative of finding,AlphaLackey,6/12/17 19:48,0,0,Negative,NA,476,263,dogmatic egalitarian activism leans androcentric on balance pop culture language puns and hockey,"Winnipeg, Manitoba",reply,7,2
this is the gayest thread,DestroClef,6/12/17 19:47,0,0,Neutral,NA,537,104,build the wall,United States,reply,7,2
people wont give a fuck sweetie,MrSaGaWa619,6/12/17 19:46,0,0,Neutral,NA,517,79,,,reply,7,2
luckily ive been boycotting for almost two years so i dont notice the bullshit stereotypes you think exist,BiffMcflybiff,6/12/17 19:46,0,0,Negative,NA,140,64,,,reply,7,2
i want to make myself believe you people are all joking sadly i know youre dead ass serious and thats depressing,Ncole1111,6/12/17 19:46,0,0,Very Negative,sadness,83,9,,Florida,reply,7,2
different theyd have been awesome astronauts or otherwise nasa workers,PineBucket,6/12/17 19:46,0,0,Neutral,NA,672,256,,Location: In de Nile,reply,7,3
congrats on a stupid waste of time signed the minimum wage clerk that has to put the shirts back,Evertonius,6/12/17 19:45,0,0,Very Negative,surprise,1170,574,covfefe maga blocked by and eichenwald drivethemout resistance is friend of deplorable neverhillary cnnisisis,NYC,reply,7,2
my sisters went to space camp when they were kids i still think theyre the coolest if things had been c,PineBucket,6/12/17 19:45,0,0,Positive,NA,672,256,,Location: In de Nile,reply,7,3
i hope you replaced them with something from the girls department just saying,LiberalBeachGal,6/12/17 19:45,0,0,Positive,NA,114,54,floridian beach bum loving the sun surf and sand trump hater and nasty woman fu,"Florida, USA",reply,7,3
have you ever worked in retail making more work for us isnt activism its just being an annoyi,LizWill99,6/12/17 19:44,16,1,Very Positive,anger,1520,1876,proud lib race traitor flag lover reluctant minnesota expat theresistance,"Manassas, VA",reply,7,3
i love this so incredibly much,coopcoopadoop,6/12/17 19:44,0,0,Very Positive,joy,675,161,debbie upper podcast enthusiast trashy novel connoisseur technical project manager travel junkie tech devotee,"Austin, TX",reply,7,3
having worked retail before this literally pains me you added one more thing for these mostly underpaid people to do,chloekyleee,6/12/17 19:43,0,0,Very Negative,NA,27,506,god save queens,not where i should be,reply,7,1
was that years ago and theyre still unsold you know females dont have a y chromosome dont you,rodfell1,6/12/17 19:43,0,0,Neutral,NA,26,5,australian medical doctor,Australia,reply,7,NA
